Channel,Spend,Spend Prev,Spend Δ%,Revenue,Revenue Prev,Revenue Δ%,ROAS,ROAS Prev,ROAS Δ%,ROAS 1st,ROAS 1st Prev,ROAS 1st Δ%,CAC,CAC Prev,CAC Δ%,CAC 1st,CAC 1st Prev,CAC 1st Δ%,AOV,AOV Prev,AOV Δ%,Transactions,Transactions Prev,Transactions Δ%
All Channels,74387,74391,-0%,209459,210132,-0%,2.82,2.82,-0%,2.25,2.31,-3%,144.16,140.36,3%,223.39,215.05,4%,405.93,396.48,2%,516,530,-3%
Paid Media,74387,74391,-0%,95659,99838,-4%,1.29,1.34,-4%,1.07,1.15,-6%,420.27,383.46,10%,526.26,482.50,9%,540.45,514.63,5%,177,194,-9%
Facebook Ads,29471,27086,9%,9987,14899,-33%,0.34,0.55,-38%,0.29,0.49,-41%,809.87,884.58,-8%,972.32,992.88,-2%,274.45,486.57,-44%,36,31,16%
Google Ads,26639,28926,-8%,56038,53824,4%,2.10,1.86,13%,1.80,1.59,13%,320.72,290.19,11%,393.89,379.61,4%,674.67,539.97,25%,83,100,-17%
Awin,8771,7197,22%,23047,24943,-8%,2.63,3.47,-24%,2.05,2.86,-28%,210.73,142.39,48%,282.93,180.77,57%,553.76,493.54,12%,42,51,-18%
TikTok,2965,4638,-36%,549,845,-35%,0.19,0.18,6%,0.19,0.18,6%,1876.88,4638.27,-60%,1876.88,4638.27,-60%,347.23,845.00,-59%,2,1,100%
Microsoft Ads,2362,2553,-7%,3459,2112,64%,1.46,0.83,76%,1.04,0.83,25%,393.64,729.50,-46%,674.81,729.50,-7%,576.46,603.37,-4%,6,4,50%
AppLovin,2111,2146,-2%,440,523,-16%,0.21,0.24,-12%,0.20,0.24,-17%,1688.98,1543.78,9%,2111.22,1543.78,37%,352.22,376.00,-6%,1,1,0%
ShopMyShelf,1717,1496,15%,2138,2692,-21%,1.25,1.80,-31%,1.15,1.37,-16%,251.32,213.78,18%,271.17,299.30,-9%,313.09,384.57,-19%,7,7,0%
Pinterest,352,349,1%,0,0,0%,0.00,0.00,0%,0.00,0.00,0%,0.00,0.00,0%,0.00,0.00,0%,nan,nan,nan%,0,0,0% 